Kolkata, IND, Kolkata.csv
Bangalore, IND, Bangalore.csv
Chennai, IND, Chennai.csv
Mumbai,IND, Mumbai.csv
KualaLumpur, MY, Kuala.csv
Singapore, SIN, Singapore.csv
NewDelhi, IND, NewDelhi.csv
Brisbane, AU, Brisbane.csv
Phoenix, AZ, Phoenix.csv
Boston, MA, Boston.csv
Denver, CO,  Denver.csv
Houston, TX, Houston.csv
Seattle, WA, Seattle.csv
LasVegas, NV, LasVegas.csv	
NewYork, NY, NYC.csv
London, UK, EGLL.csv
Sydney, AU, YSSY.csv
Buffalo, NY, BUF.csv
Pittsburgh, PA, PIT.csv
Honolulu, HI, PHNL.csv
Sunnyvale, CA, KCASUNNY13.csv
Schaumburg, IL, KILSCHAU1.csv
Miami, FL, KFLMIAMI43.csv
Richmond, VA, KVARICHM29.csv